id,kode_provinsi,nama_provinsi,kode_kabupaten_kota,nama_kabupaten_kota,nama_rumah_sakit,kategori_kunjungan,jumlah_kunjungan,satuan,tahun
16,32,JAWA BARAT,3201,KABUPATEN BOGOR,RS UMUM MARY CILEUNGSI HIJAU,KUNJUNGAN RAWAT JALAN,58352,ORANG,2019
17,32,JAWA BARAT,3201,KABUPATEN BOGOR,RS UMUM MARY CILEUNGSI HIJAU,KUNJUNGAN RAWAT INAP,11879,ORANG,2019
18,32,JAWA BARAT,3201,KABUPATEN BOGOR,RS UMUM MARY CILEUNGSI HIJAU,KUNJUNGAN GANGGUAN JIWA,0,ORANG,2019
19,32,JAWA BARAT,3201,KABUPATEN BOGOR,RS UMUM MH. THAMRIN,KUNJUNGAN RAWAT JALAN,13529,ORANG,2019
20,32,JAWA BARAT,3201,KABUPATEN BOGOR,RS UMUM MH. THAMRIN,KUNJUNGAN RAWAT INAP,118633,ORANG,2019
21,32,JAWA BARAT,3201,KABUPATEN BOGOR,RS UMUM MH. THAMRIN,KUNJUNGAN GANGGUAN JIWA,0,ORANG,2019
22,32,JAWA BARAT,3201,KABUPATEN BOGOR,RS UMUM DR MUHAMAD HASSAN TOTO,KUNJUNGAN RAWAT JALAN,41921,ORANG,2019
23,32,JAWA BARAT,3201,KABUPATEN BOGOR,RS UMUM DR MUHAMAD HASSAN TOTO,KUNJUNGAN RAWAT INAP,6165,ORANG,2019
24,32,JAWA BARAT,3201,KABUPATEN BOGOR,RS UMUM DR MUHAMAD HASSAN TOTO,KUNJUNGAN GANGGUAN JIWA,0,ORANG,2019
25,32,JAWA BARAT,3201,KABUPATEN BOGOR,RS UMUM TRIMITRA,KUNJUNGAN RAWAT JALAN,0,ORANG,2019
26,32,JAWA BARAT,3201,KABUPATEN BOGOR,RS UMUM TRIMITRA,KUNJUNGAN RAWAT INAP,0,ORANG,2019
27,32,JAWA BARAT,3201,KABUPATEN BOGOR,RS UMUM TRIMITRA,KUNJUNGAN GANGGUAN JIWA,0,ORANG,2019
28,32,JAWA BARAT,3201,KABUPATEN BOGOR,RS UMUM FAMILY MEDICAL CENTER,KUNJUNGAN RAWAT JALAN,8891,ORANG,2019
29,32,JAWA BARAT,3201,KABUPATEN BOGOR,RS UMUM FAMILY MEDICAL CENTER,KUNJUNGAN RAWAT INAP,335,ORANG,2019
30,32,JAWA BARAT,3201,KABUPATEN BOGOR,RS UMUM FAMILY MEDICAL CENTER,KUNJUNGAN GANGGUAN JIWA,85,ORANG,2019
31,32,JAWA BARAT,3201,KABUPATEN BOGOR,RS UMUM DAERAH LEUWILIANG,KUNJUNGAN RAWAT JALAN,114929,ORANG,2019
32,32,JAWA BARAT,3201,KABUPATEN BOGOR,RS UMUM DAERAH LEUWILIANG,KUNJUNGAN RAWAT INAP,15577,ORANG,2019
33,32,JAWA BARAT,3201,KABUPATEN BOGOR,RS UMUM DAERAH LEUWILIANG,KUNJUNGAN GANGGUAN JIWA,4245,ORANG,2019
34,32,JAWA BARAT,3201,KABUPATEN BOGOR,RS UMUM CITAMA,KUNJUNGAN RAWAT JALAN,84996,ORANG,2019
35,32,JAWA BARAT,3201,KABUPATEN BOGOR,RS UMUM CITAMA,KUNJUNGAN RAWAT INAP,6846,ORANG,2019
36,32,JAWA BARAT,3201,KABUPATEN BOGOR,RS UMUM CITAMA,KUNJUNGAN GANGGUAN JIWA,0,ORANG,2019
37,32,JAWA BARAT,3201,KABUPATEN BOGOR,RS UMUM ANNISA,KUNJUNGAN RAWAT JALAN,63886,ORANG,2019
38,32,JAWA BARAT,3201,KABUPATEN BOGOR,RS UMUM ANNISA,KUNJUNGAN RAWAT INAP,10200,ORANG,2019
39,32,JAWA BARAT,3201,KABUPATEN BOGOR,RS UMUM ANNISA,KUNJUNGAN GANGGUAN JIWA,0,ORANG,2019
40,32,JAWA BARAT,3201,KABUPATEN BOGOR,RS UMUM SENTRA MEDIKA CIBINONG,KUNJUNGAN RAWAT JALAN,219288,ORANG,2019
41,32,JAWA BARAT,3201,KABUPATEN BOGOR,RS UMUM SENTRA MEDIKA CIBINONG,KUNJUNGAN RAWAT INAP,14586,ORANG,2019
42,32,JAWA BARAT,3201,KABUPATEN BOGOR,RS UMUM SENTRA MEDIKA CIBINONG,KUNJUNGAN GANGGUAN JIWA,0,ORANG,2019
43,32,JAWA BARAT,3201,KABUPATEN BOGOR,RS SENTOSA,KUNJUNGAN RAWAT JALAN,17635,ORANG,2019
44,32,JAWA BARAT,3201,KABUPATEN BOGOR,RS SENTOSA,KUNJUNGAN RAWAT INAP,3294,ORANG,2019
45,32,JAWA BARAT,3201,KABUPATEN BOGOR,RS SENTOSA,KUNJUNGAN GANGGUAN JIWA,0,ORANG,2019
46,32,JAWA BARAT,3201,KABUPATEN BOGOR,RS UMUM DAERAH CILEUNGSI,KUNJUNGAN RAWAT JALAN,57712,ORANG,2019
47,32,JAWA BARAT,3201,KABUPATEN BOGOR,RS UMUM DAERAH CILEUNGSI,KUNJUNGAN RAWAT INAP,6405,ORANG,2019
48,32,JAWA BARAT,3201,KABUPATEN BOGOR,RS UMUM DAERAH CILEUNGSI,KUNJUNGAN GANGGUAN JIWA,48,ORANG,2019
49,32,JAWA BARAT,3201,KABUPATEN BOGOR,RS UMUM DR. SISMADI,KUNJUNGAN RAWAT JALAN,3937,ORANG,2019
50,32,JAWA BARAT,3201,KABUPATEN BOGOR,RS UMUM DR. SISMADI,KUNJUNGAN RAWAT INAP,490,ORANG,2019
51,32,JAWA BARAT,3201,KABUPATEN BOGOR,RS UMUM DR. SISMADI,KUNJUNGAN GANGGUAN JIWA,0,ORANG,2019
52,32,JAWA BARAT,3201,KABUPATEN BOGOR,RS UMUM HERMINA MEKARSARI,KUNJUNGAN RAWAT JALAN,23733,ORANG,2019
53,32,JAWA BARAT,3201,KABUPATEN BOGOR,RS UMUM HERMINA MEKARSARI,KUNJUNGAN RAWAT INAP,0,ORANG,2019
54,32,JAWA BARAT,3201,KABUPATEN BOGOR,RS UMUM HERMINA MEKARSARI,KUNJUNGAN GANGGUAN JIWA,0,ORANG,2019
55,32,JAWA BARAT,3201,KABUPATEN BOGOR,RS IBU DAN ANAK ASSALAM,KUNJUNGAN RAWAT JALAN,13313,ORANG,2019
56,32,JAWA BARAT,3201,KABUPATEN BOGOR,RS IBU DAN ANAK ASSALAM,KUNJUNGAN RAWAT INAP,2758,ORANG,2019
57,32,JAWA BARAT,3201,KABUPATEN BOGOR,RS IBU DAN ANAK ASSALAM,KUNJUNGAN GANGGUAN JIWA,0,ORANG,2019
58,32,JAWA BARAT,3201,KABUPATEN BOGOR,RS IBU DAN ANAK KENARI GRAHA MEDIKA,KUNJUNGAN RAWAT JALAN,4046,ORANG,2019
59,32,JAWA BARAT,3201,KABUPATEN BOGOR,RS IBU DAN ANAK KENARI GRAHA MEDIKA,KUNJUNGAN RAWAT INAP,2189,ORANG,2019
60,32,JAWA BARAT,3201,KABUPATEN BOGOR,RS IBU DAN ANAK KENARI GRAHA MEDIKA,KUNJUNGAN GANGGUAN JIWA,0,ORANG,2019
61,32,JAWA BARAT,3201,KABUPATEN BOGOR,RS UMUM PERMATA JONGGOL,KUNJUNGAN RAWAT JALAN,78887,ORANG,2019
62,32,JAWA BARAT,3201,KABUPATEN BOGOR,RS UMUM PERMATA JONGGOL,KUNJUNGAN RAWAT INAP,6454,ORANG,2019
63,32,JAWA BARAT,3201,KABUPATEN BOGOR,RS UMUM PERMATA JONGGOL,KUNJUNGAN GANGGUAN JIWA,0,ORANG,2019
64,32,JAWA BARAT,3201,KABUPATEN BOGOR,RS UMUM KARYA BHAKTI PRATIWI,KUNJUNGAN RAWAT JALAN,144699,ORANG,2019
65,32,JAWA BARAT,3201,KABUPATEN BOGOR,RS UMUM KARYA BHAKTI PRATIWI,KUNJUNGAN RAWAT INAP,11944,ORANG,2019
66,32,JAWA BARAT,3201,KABUPATEN BOGOR,RS UMUM KARYA BHAKTI PRATIWI,KUNJUNGAN GANGGUAN JIWA,954,ORANG,2019
67,32,JAWA BARAT,3201,KABUPATEN BOGOR,RS UMUM RUMAH SEHAT TERPADU DOMPET DHUAFA,KUNJUNGAN RAWAT JALAN,113366,ORANG,2019
68,32,JAWA BARAT,3201,KABUPATEN BOGOR,RS UMUM RUMAH SEHAT TERPADU DOMPET DHUAFA,KUNJUNGAN RAWAT INAP,7626,ORANG,2019
69,32,JAWA BARAT,3201,KABUPATEN BOGOR,RS UMUM RUMAH SEHAT TERPADU DOMPET DHUAFA,KUNJUNGAN GANGGUAN JIWA,0,ORANG,2019
70,32,JAWA BARAT,3201,KABUPATEN BOGOR,RS EMC SENTUL,KUNJUNGAN RAWAT JALAN,40410,ORANG,2019
71,32,JAWA BARAT,3201,KABUPATEN BOGOR,RS EMC SENTUL,KUNJUNGAN RAWAT INAP,1936,ORANG,2019
72,32,JAWA BARAT,3201,KABUPATEN BOGOR,RS EMC SENTUL,KUNJUNGAN GANGGUAN JIWA,0,ORANG,2019
73,32,JAWA BARAT,3201,KABUPATEN BOGOR,RS UMUM ASYSYIFAA,KUNJUNGAN RAWAT JALAN,9592,ORANG,2019
74,32,JAWA BARAT,3201,KABUPATEN BOGOR,RS UMUM ASYSYIFAA,KUNJUNGAN RAWAT INAP,0,ORANG,2019
75,32,JAWA BARAT,3201,KABUPATEN BOGOR,RS UMUM ASYSYIFAA,KUNJUNGAN GANGGUAN JIWA,0,ORANG,2019
76,32,JAWA BARAT,3201,KABUPATEN BOGOR,RS IBU DAN ANAK PERMATA PERTIWI,KUNJUNGAN RAWAT JALAN,2448,ORANG,2019
77,32,JAWA BARAT,3201,KABUPATEN BOGOR,RS IBU DAN ANAK PERMATA PERTIWI,KUNJUNGAN RAWAT INAP,495,ORANG,2019
78,32,JAWA BARAT,3201,KABUPATEN BOGOR,RS IBU DAN ANAK PERMATA PERTIWI,KUNJUNGAN GANGGUAN JIWA,0,ORANG,2019
79,32,JAWA BARAT,3201,KABUPATEN BOGOR,RS HARAPAN SEHATI,KUNJUNGAN RAWAT JALAN,8733,ORANG,2019
80,32,JAWA BARAT,3201,KABUPATEN BOGOR,RS HARAPAN SEHATI,KUNJUNGAN RAWAT INAP,2339,ORANG,2019
81,32,JAWA BARAT,3201,KABUPATEN BOGOR,RS HARAPAN SEHATI,KUNJUNGAN GANGGUAN JIWA,3,ORANG,2019
82,32,JAWA BARAT,3201,KABUPATEN BOGOR,RS IBU DAN ANAK MELANIA,KUNJUNGAN RAWAT JALAN,2646,ORANG,2019
83,32,JAWA BARAT,3201,KABUPATEN BOGOR,RS IBU DAN ANAK MELANIA,KUNJUNGAN RAWAT INAP,191,ORANG,2019
84,32,JAWA BARAT,3201,KABUPATEN BOGOR,RS IBU DAN ANAK MELANIA,KUNJUNGAN GANGGUAN JIWA,0,ORANG,2019
85,32,JAWA BARAT,3201,KABUPATEN BOGOR,RS EKA HOSPITAL,KUNJUNGAN RAWAT JALAN,4009,ORANG,2019
86,32,JAWA BARAT,3201,KABUPATEN BOGOR,RS EKA HOSPITAL,KUNJUNGAN RAWAT INAP,234,ORANG,2019
87,32,JAWA BARAT,3201,KABUPATEN BOGOR,RS EKA HOSPITAL,KUNJUNGAN GANGGUAN JIWA,14,ORANG,2019
88,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,RS UMUM DAERAH SEKARWANGI,KUNJUNGAN RAWAT JALAN,0,ORANG,2019
89,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,RS UMUM DAERAH SEKARWANGI,KUNJUNGAN RAWAT INAP,0,ORANG,2019
90,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,RS UMUM DAERAH SEKARWANGI,KUNJUNGAN GANGGUAN JIWA,0,ORANG,2019
91,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,RS UMUM DAERAH PALABUHANRATU,KUNJUNGAN RAWAT JALAN,0,ORANG,2019
92,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,RS UMUM DAERAH PALABUHANRATU,KUNJUNGAN RAWAT INAP,0,ORANG,2019
93,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,RS UMUM DAERAH PALABUHANRATU,KUNJUNGAN GANGGUAN JIWA,0,ORANG,2019
94,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,RS UMUM DAERAH JAMPANG KULON,KUNJUNGAN RAWAT JALAN,65672,ORANG,2019
95,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,RS UMUM DAERAH JAMPANG KULON,KUNJUNGAN RAWAT INAP,0,ORANG,2019
96,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,RS UMUM DAERAH JAMPANG KULON,KUNJUNGAN GANGGUAN JIWA,0,ORANG,2019
97,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,RS UMUM HERMINA,KUNJUNGAN RAWAT JALAN,177382,ORANG,2019
98,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,RS UMUM HERMINA,KUNJUNGAN RAWAT INAP,0,ORANG,2019
99,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,RS UMUM HERMINA,KUNJUNGAN GANGGUAN JIWA,0,ORANG,2019
100,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,RS UMUM BETHA MEDIKA,KUNJUNGAN RAWAT JALAN,0,ORANG,2019
101,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,RS UMUM BETHA MEDIKA,KUNJUNGAN RAWAT INAP,0,ORANG,2019
102,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,RS UMUM BETHA MEDIKA,KUNJUNGAN GANGGUAN JIWA,0,ORANG,2019
103,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,RS UMUM BHAKTI MEDICARE,KUNJUNGAN RAWAT JALAN,143339,ORANG,2019
104,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,RS UMUM BHAKTI MEDICARE,KUNJUNGAN RAWAT INAP,0,ORANG,2019
105,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,RS UMUM BHAKTI MEDICARE,KUNJUNGAN GANGGUAN JIWA,0,ORANG,2019
106,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,RS UMUM KARTIKA CIBADAK,KUNJUNGAN RAWAT JALAN,0,ORANG,2019
107,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,RS UMUM KARTIKA CIBADAK,KUNJUNGAN RAWAT INAP,0,ORANG,2019
108,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,RS UMUM KARTIKA CIBADAK,KUNJUNGAN GANGGUAN JIWA,0,ORANG,2019
109,32,JAWA BARAT,3203,KABUPATEN CIANJUR,RS UMUM DAERAH SAYANG,KUNJUNGAN RAWAT JALAN,0,ORANG,2019
110,32,JAWA BARAT,3203,KABUPATEN CIANJUR,RS UMUM DAERAH SAYANG,KUNJUNGAN RAWAT INAP,0,ORANG,2019
111,32,JAWA BARAT,3203,KABUPATEN CIANJUR,RS UMUM DAERAH SAYANG,KUNJUNGAN GANGGUAN JIWA,0,ORANG,2019
112,32,JAWA BARAT,3203,KABUPATEN CIANJUR,RS UMUM DAERAH CIMACAN,KUNJUNGAN RAWAT JALAN,0,ORANG,2019
113,32,JAWA BARAT,3203,KABUPATEN CIANJUR,RS UMUM DAERAH CIMACAN,KUNJUNGAN RAWAT INAP,0,ORANG,2019
114,32,JAWA BARAT,3203,KABUPATEN CIANJUR,RS UMUM DAERAH CIMACAN,KUNJUNGAN GANGGUAN JIWA,0,ORANG,2019
115,32,JAWA BARAT,3203,KABUPATEN CIANJUR,RS UMUM DR. HAFIZ,KUNJUNGAN RAWAT JALAN,106914,ORANG,2019
116,32,JAWA BARAT,3203,KABUPATEN CIANJUR,RS UMUM DR. HAFIZ,KUNJUNGAN RAWAT INAP,17016,ORANG,2019
117,32,JAWA BARAT,3203,KABUPATEN CIANJUR,RS UMUM DR. HAFIZ,KUNJUNGAN GANGGUAN JIWA,0,ORANG,2019
118,32,JAWA BARAT,3203,KABUPATEN CIANJUR,RS UMUM DAERAH PAGELARAN,KUNJUNGAN RAWAT JALAN,0,ORANG,2019
119,32,JAWA BARAT,3203,KABUPATEN CIANJUR,RS UMUM DAERAH PAGELARAN,KUNJUNGAN RAWAT INAP,0,ORANG,2019
120,32,JAWA BARAT,3203,KABUPATEN CIANJUR,RS UMUM DAERAH PAGELARAN,KUNJUNGAN GANGGUAN JIWA,0,ORANG,2019
121,32,JAWA BARAT,3204,KABUPATEN BANDUNG,RS UMUM DAERAH MAJALAYA,KUNJUNGAN RAWAT JALAN,161470,ORANG,2019
122,32,JAWA BARAT,3204,KABUPATEN BANDUNG,RS UMUM DAERAH MAJALAYA,KUNJUNGAN RAWAT INAP,20937,ORANG,2019
123,32,JAWA BARAT,3204,KABUPATEN BANDUNG,RS UMUM DAERAH MAJALAYA,KUNJUNGAN GANGGUAN JIWA,5581,ORANG,2019
124,32,JAWA BARAT,3204,KABUPATEN BANDUNG,RS UMUM DAERAH AL IHSAN PROVINSI JAWA BARAT,KUNJUNGAN RAWAT JALAN,227458,ORANG,2019
125,32,JAWA BARAT,3204,KABUPATEN BANDUNG,RS UMUM DAERAH AL IHSAN PROVINSI JAWA BARAT,KUNJUNGAN RAWAT INAP,25289,ORANG,2019
126,32,JAWA BARAT,3204,KABUPATEN BANDUNG,RS UMUM DAERAH AL IHSAN PROVINSI JAWA BARAT,KUNJUNGAN GANGGUAN JIWA,2221,ORANG,2019
127,32,JAWA BARAT,3204,KABUPATEN BANDUNG,RS UMUM DAERAH SOREANG,KUNJUNGAN RAWAT JALAN,133279,ORANG,2019
128,32,JAWA BARAT,3204,KABUPATEN BANDUNG,RS UMUM DAERAH SOREANG,KUNJUNGAN RAWAT INAP,16080,ORANG,2019
129,32,JAWA BARAT,3204,KABUPATEN BANDUNG,RS UMUM DAERAH SOREANG,KUNJUNGAN GANGGUAN JIWA,7484,ORANG,2019
130,32,JAWA BARAT,3204,KABUPATEN BANDUNG,RS UMUM DAERAH CICALENGKA,KUNJUNGAN RAWAT JALAN,68864,ORANG,2019
131,32,JAWA BARAT,3204,KABUPATEN BANDUNG,RS UMUM DAERAH CICALENGKA,KUNJUNGAN RAWAT INAP,9173,ORANG,2019
132,32,JAWA BARAT,3204,KABUPATEN BANDUNG,RS UMUM DAERAH CICALENGKA,KUNJUNGAN GANGGUAN JIWA,1913,ORANG,2019
133,32,JAWA BARAT,3204,KABUPATEN BANDUNG,RS UMUM BINA SEHAT,KUNJUNGAN RAWAT JALAN,90010,ORANG,2019
134,32,JAWA BARAT,3204,KABUPATEN BANDUNG,RS UMUM BINA SEHAT,KUNJUNGAN RAWAT INAP,7024,ORANG,2019
135,32,JAWA BARAT,3204,KABUPATEN BANDUNG,RS UMUM BINA SEHAT,KUNJUNGAN GANGGUAN JIWA,0,ORANG,2019
136,32,JAWA BARAT,3204,KABUPATEN BANDUNG,RS UMUM AMC,KUNJUNGAN RAWAT JALAN,121229,ORANG,2019
137,32,JAWA BARAT,3204,KABUPATEN BANDUNG,RS UMUM AMC,KUNJUNGAN RAWAT INAP,17179,ORANG,2019
138,32,JAWA BARAT,3204,KABUPATEN BANDUNG,RS UMUM AMC,KUNJUNGAN GANGGUAN JIWA,3680,ORANG,2019
139,32,JAWA BARAT,3204,KABUPATEN BANDUNG,RS UMUM TNI AU LANUD SULAIMAN,KUNJUNGAN RAWAT JALAN,45745,ORANG,2019
140,32,JAWA BARAT,3204,KABUPATEN BANDUNG,RS UMUM TNI AU LANUD SULAIMAN,KUNJUNGAN RAWAT INAP,1613,ORANG,2019
141,32,JAWA BARAT,3204,KABUPATEN BANDUNG,RS UMUM TNI AU LANUD SULAIMAN,KUNJUNGAN GANGGUAN JIWA,0,ORANG,2019
142,32,JAWA BARAT,3204,KABUPATEN BANDUNG,RS UNGGUL KARSA MEDIKA,KUNJUNGAN RAWAT JALAN,3451,ORANG,2019
143,32,JAWA BARAT,3204,KABUPATEN BANDUNG,RS UNGGUL KARSA MEDIKA,KUNJUNGAN RAWAT INAP,2280,ORANG,2019
144,32,JAWA BARAT,3204,KABUPATEN BANDUNG,RS UNGGUL KARSA MEDIKA,KUNJUNGAN GANGGUAN JIWA,4,ORANG,2019
145,32,JAWA BARAT,3205,KABUPATEN GARUT,RS UMUM DAERAH DR. SLAMET GARUT,KUNJUNGAN RAWAT JALAN,0,ORANG,2019
146,32,JAWA BARAT,3205,KABUPATEN GARUT,RS UMUM DAERAH DR. SLAMET GARUT,KUNJUNGAN RAWAT INAP,0,ORANG,2019
147,32,JAWA BARAT,3205,KABUPATEN GARUT,RS UMUM DAERAH DR. SLAMET GARUT,KUNJUNGAN GANGGUAN JIWA,0,ORANG,2019
148,32,JAWA BARAT,3205,KABUPATEN GARUT,RS UMUM TK IV GUNTUR,KUNJUNGAN RAWAT JALAN,0,ORANG,2019
149,32,JAWA BARAT,3205,KABUPATEN GARUT,RS UMUM TK IV GUNTUR,KUNJUNGAN RAWAT INAP,0,ORANG,2019
150,32,JAWA BARAT,3205,KABUPATEN GARUT,RS UMUM TK IV GUNTUR,KUNJUNGAN GANGGUAN JIWA,0,ORANG,2019
151,32,JAWA BARAT,3205,KABUPATEN GARUT,RS UMUM DAERAH PAMEUNGPEUK PROV. JABAR,KUNJUNGAN RAWAT JALAN,0,ORANG,2019
152,32,JAWA BARAT,3205,KABUPATEN GARUT,RS UMUM DAERAH PAMEUNGPEUK PROV. JABAR,KUNJUNGAN RAWAT INAP,0,ORANG,2019
153,32,JAWA BARAT,3205,KABUPATEN GARUT,RS UMUM DAERAH PAMEUNGPEUK PROV. JABAR,KUNJUNGAN GANGGUAN JIWA,0,ORANG,2019
154,32,JAWA BARAT,3205,KABUPATEN GARUT,RS UMUM NURHAYATI GARUT,KUNJUNGAN RAWAT JALAN,0,ORANG,2019
155,32,JAWA BARAT,3205,KABUPATEN GARUT,RS UMUM NURHAYATI GARUT,KUNJUNGAN RAWAT INAP,0,ORANG,2019
156,32,JAWA BARAT,3205,KABUPATEN GARUT,RS UMUM NURHAYATI GARUT,KUNJUNGAN GANGGUAN JIWA,0,ORANG,2019
157,32,JAWA BARAT,3205,KABUPATEN GARUT,RS UMUM ANNISA QUEEN,KUNJUNGAN RAWAT JALAN,0,ORANG,2019
158,32,JAWA BARAT,3205,KABUPATEN GARUT,RS UMUM ANNISA QUEEN,KUNJUNGAN RAWAT INAP,0,ORANG,2019
159,32,JAWA BARAT,3205,KABUPATEN GARUT,RS UMUM ANNISA QUEEN,KUNJUNGAN GANGGUAN JIWA,0,ORANG,2019
160,32,JAWA BARAT,3205,KABUPATEN GARUT,RS UMUM INTAN HUSADA,KUNJUNGAN RAWAT JALAN,0,ORANG,2019
161,32,JAWA BARAT,3205,KABUPATEN GARUT,RS UMUM INTAN HUSADA,KUNJUNGAN RAWAT INAP,0,ORANG,2019
162,32,JAWA BARAT,3205,KABUPATEN GARUT,RS UMUM INTAN HUSADA,KUNJUNGAN GANGGUAN JIWA,0,ORANG,2019
163,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,RS UMUM DAERAH SINGAPARNA MEDIKA CITRAUTAMA,KUNJUNGAN RAWAT JALAN,96075,ORANG,2019
164,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,RS UMUM DAERAH SINGAPARNA MEDIKA CITRAUTAMA,KUNJUNGAN RAWAT INAP,18769,ORANG,2019
165,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,RS UMUM DAERAH SINGAPARNA MEDIKA CITRAUTAMA,KUNJUNGAN GANGGUAN JIWA,0,ORANG,2019
166,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,RS IBU DAN ANAK RESPATI,KUNJUNGAN RAWAT JALAN,5700,ORANG,2019
167,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,RS IBU DAN ANAK RESPATI,KUNJUNGAN RAWAT INAP,1263,ORANG,2019
168,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,RS IBU DAN ANAK RESPATI,KUNJUNGAN GANGGUAN JIWA,0,ORANG,2019
169,32,JAWA BARAT,3207,KABUPATEN CIAMIS,RS UMUM DAERAH KAB. CIAMIS,KUNJUNGAN RAWAT JALAN,0,ORANG,2019
170,32,JAWA BARAT,3207,KABUPATEN CIAMIS,RS UMUM DAERAH KAB. CIAMIS,KUNJUNGAN RAWAT INAP,0,ORANG,2019
171,32,JAWA BARAT,3207,KABUPATEN CIAMIS,RS UMUM DAERAH KAB. CIAMIS,KUNJUNGAN GANGGUAN JIWA,0,ORANG,2019
172,32,JAWA BARAT,3207,KABUPATEN CIAMIS,RS UMUM PERMATA BUNDA,KUNJUNGAN RAWAT JALAN,0,ORANG,2019
173,32,JAWA BARAT,3207,KABUPATEN CIAMIS,RS UMUM PERMATA BUNDA,KUNJUNGAN RAWAT INAP,0,ORANG,2019
174,32,JAWA BARAT,3207,KABUPATEN CIAMIS,RS UMUM PERMATA BUNDA,KUNJUNGAN GANGGUAN JIWA,0,ORANG,2019
175,32,JAWA BARAT,3207,KABUPATEN CIAMIS,RS UMUM AL - ARIF,KUNJUNGAN RAWAT JALAN,0,ORANG,2019
176,32,JAWA BARAT,3207,KABUPATEN CIAMIS,RS UMUM AL - ARIF,KUNJUNGAN RAWAT INAP,0,ORANG,2019
